#system		NaCl	KCl	MgCl2
1	polyA		5.3072	0.723	4.7478	0.708	2.1084	0.569  	
2	polyG	  	13.477	1.086	9.8639	1.274	9.7685	1.142
3	polyU	  	4.5043	0.692	4.6111	0.706	3.0879	0.605
4	polyC	  	6.9226	0.630	4.4021	0.637	10.395	0.857
5	polyAU	  	5.0283	0.702	4.4769	0.657	5.8515	0.814
6	polyGC	  	2.8987	0.546	8.7517	0.749	5.0371	0.763
7	polyGU	  	10.385	1.137	9.5751	1.015	7.9046	0.885
