#system		NaCl	KCl	MgCl2
1	polyA	  	3.5899	0.617	0.8696	0.479	1.0115	0.428	
2	polyG	  	4.1268	0.639	0.7709	0.353	3.4893	0.585
3	polyU	  	1.1667	0.292	0.2894	0.254	1.4783	0.386
4	polyC	  	8.3701	0.554	15.164	1.128	6.1733	0.614
5	polyAU	  	0.9576	0.373	2.3012	0.547	1.2761	0.974
6	polyGC	  	6.2662	0.622	2.4626	0.553	5.9039	0.769
7	polyGU	  	3.1751	0.474	2.8734	0.544	3.1772	0.562
