#system		NaCl	KCl	MgCl2
1	polyA		6.833	1.033	1.0091	0.294	2.7927	0.613 	
2	polyG	  	3.2481	0.627	1.3246	0.378	1.0011	0.364
3	polyU	  	0.6366	0.385	1.7697	0.517	0.2021	0.244
4	polyC	  	1.0576	0.482	2.0865	0.460	1.5349	0.614
5	polyAU	  	2.0487	0.393	1.8452	0.511	2.0578	0.941
6	polyGC	  	2.3467	0.577	1.3562	0.359	3.0074	0.638
7	polyGU	  	2.0684	0.599	3.1498	0.756	5.1687	0.697
