#	atom	Na	K	
1	N3	51.402	18.858	6.3508	1.3962	 
2	N7	64.079	25.140	11.706	2.4280
3	O6	98.128	47.630	25.770	10.936
4	P	150.09	48.560	24.407	5.7057
