#	atom	Na	K	
1	N1	63.008	22.011	10.500	1.4875	 
2	N3	56.914	24.325	6.0123	1.1288
3	N7	225.24	54.949	14.275	2.8935
4	O2	133.49	40.828	38.703	20.575
5	O4	178.04	64.617	25.723	4.1683
6	OP	175.55	68.843	27.186	11.949
