#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    44656    0.238    1.947    0.487   144164    1.898
       1     2205    0.012    1.387    0.285   149244    2.374
       2     1286    0.007    1.169    0.171     1321    2.238
       3      934    0.005    1.134    0.182    39611    1.918
       4      925    0.005    1.193    0.200    34204    2.397
       5      804    0.004    1.178    0.168   172251    2.204
       6      333    0.002    1.090    0.181    35300    2.441
