   0.000   1.000   0.000   2.000   0.000
  50.000   2.814   0.848   4.192   1.023
 100.000   4.116   0.507   5.580   0.555
 150.000   4.011   0.529   5.747   0.658
 200.000   4.122   0.476   6.959   0.634
 250.000   4.337   0.477   6.761   0.569
 300.000   5.921   0.688   8.889   0.835
 350.000   6.184   0.540   8.806   0.689
 400.000   7.589   0.488   9.624   0.524
 450.000   6.272   0.576   8.353   0.650
 500.000   5.337   0.451   8.291   0.411
 550.000   6.060   0.547   9.103   0.480
 600.000   6.923   0.502   9.510   0.512
 650.000   7.096   0.545  10.304   0.514
 700.000   6.317   0.494   9.458   0.454
 750.000   6.296   0.492   9.731   0.448
 800.000   5.996   0.524   9.378   0.494
 850.000   4.336   0.420   8.295   0.627
 900.000   4.618   0.447   8.678   0.619
 950.000   4.542   0.473   8.412   0.617
1000.000   4.739   0.423   8.921   0.587
