   0.000   1.000   0.000   1.000   0.000
  50.000   4.473   0.642   5.723   0.712
 100.000   5.610   0.527   7.229   0.536
 150.000   6.104   0.502   8.167   0.579
 200.000   6.023   0.386   7.749   0.538
 250.000   5.964   0.490   8.086   0.613
 300.000   5.809   0.506   8.005   0.652
 350.000   5.730   0.442   7.858   0.497
 400.000   4.671   0.467   7.670   0.641
 450.000   4.303   0.519   8.016   0.703
 500.000   4.727   0.550   7.692   0.592
 550.000   4.849   0.439   6.272   0.545
 600.000   4.862   0.316   6.285   0.489
 650.000   4.688   0.527   7.194   0.591
 700.000   3.420   0.599   6.430   0.575
 750.000   4.986   0.535   7.985   0.565
 800.000   4.625   0.525   7.136   0.505
 850.000   5.189   0.623   7.624   0.598
 900.000   5.491   0.649   7.979   0.641
 950.000   6.661   0.630   8.781   0.440
1000.000   5.877   0.554   8.596   0.536
