   0.000   1.000   0.000   2.000   0.000
  50.000   5.002   0.783   6.445   0.977
 100.000   5.968   0.545   7.263   0.593
 150.000   8.507   0.361   9.429   0.290
 200.000   7.071   0.604   8.360   0.498
 250.000   5.838   0.361   6.841   0.395
 300.000   6.315   0.479   7.430   0.508
 350.000   6.509   0.465   7.869   0.433
 400.000   6.763   0.442   8.152   0.388
 450.000   6.943   0.382   8.154   0.346
 500.000   6.991   0.401   8.229   0.338
 550.000   6.993   0.400   8.284   0.338
 600.000   6.770   0.457   8.374   0.370
 650.000   6.648   0.467   8.054   0.386
 700.000   6.076   0.427   7.240   0.429
 750.000   6.435   0.451   7.810   0.469
 800.000   6.673   0.501   8.367   0.366
 850.000   6.279   0.384   7.515   0.376
 900.000   6.697   0.413   7.938   0.372
 950.000   6.469   0.497   8.014   0.379
1000.000   5.849   0.472   7.300   0.406
