   0.000   0.000   0.000   1.000   0.000
  50.000   4.208   0.603   6.141   0.593
 100.000   3.150   0.529   5.949   0.758
 150.000   2.793   0.538   6.182   0.757
 200.000   5.504   0.762   8.951   0.888
 250.000   6.821   0.659  11.233   0.595
 300.000   5.775   0.628  10.210   0.641
 350.000   5.699   0.646  10.589   0.611
 400.000   6.401   0.672  10.455   0.586
 450.000   6.441   0.680  10.416   0.734
 500.000   7.302   0.652  10.899   0.667
 550.000   6.309   0.594   9.930   0.701
 600.000   6.223   0.659  10.531   0.669
 650.000   5.859   0.615  10.317   0.750
 700.000   5.867   0.599  10.973   0.746
 750.000   6.288   0.581  10.814   0.667
 800.000   6.539   0.578  11.405   0.709
 850.000   6.132   0.553  10.412   0.620
 900.000   6.520   0.535   9.796   0.603
 950.000   6.213   0.560  10.305   0.612
1000.000   6.045   0.592  10.373   0.706
