   0.000   2.000   0.000   3.000   0.000
  50.000   4.667   0.676   6.683   0.729
 100.000   4.053   0.487   5.547   0.648
 150.000   2.992   0.385   4.764   0.568
 200.000   3.129   0.597   5.083   0.670
 250.000   3.213   0.526   5.164   0.750
 300.000   4.619   0.598   7.145   0.662
 350.000   5.546   0.632   7.504   0.640
 400.000   5.523   0.625   7.603   0.651
 450.000   5.145   0.572   8.188   0.830
 500.000   5.389   0.576   9.795   0.673
 550.000   5.857   0.535  10.412   0.618
 600.000   4.854   0.614   9.132   0.763
 650.000   4.724   0.690   8.933   0.852
 700.000   6.117   0.488  10.568   0.622
 750.000   5.454   0.561  10.022   0.636
 800.000   6.618   0.533  10.957   0.617
 850.000   6.559   0.529  10.564   0.606
 900.000   6.307   0.471  10.271   0.530
 950.000   6.535   0.494  10.196   0.584
1000.000   6.885   0.515  10.240   0.593
