   0.000   0.000   0.000   0.000   0.000
  50.000   3.629   0.746   4.872   0.822
 100.000   4.030   0.580   6.243   0.528
 150.000   2.186   0.682   4.692   0.871
 200.000   1.536   0.439   3.673   0.517
 250.000   2.794   0.472   4.138   0.498
 300.000   2.191   0.439   3.318   0.310
 350.000   2.550   0.531   4.071   0.361
 400.000   1.731   0.367   2.854   0.344
 450.000   1.888   0.382   3.217   0.488
 500.000   2.243   0.369   3.933   0.563
 550.000   2.682   0.521   3.822   0.554
 600.000   1.657   0.332   3.217   0.559
 650.000   2.405   0.370   4.391   0.529
 700.000   2.911   0.425   5.001   0.524
 750.000   2.654   0.377   4.289   0.490
 800.000   2.405   0.259   4.230   0.432
 850.000   3.094   0.439   5.106   0.524
 900.000   3.135   0.451   5.310   0.565
 950.000   3.077   0.402   5.118   0.540
1000.000   3.257   0.272   4.984   0.445
