   0.000   0.000   0.000   3.000   0.000
  50.000   1.470   0.445   2.724   0.641
 100.000   2.645   0.491   4.857   0.489
 150.000   2.226   0.640   5.570   0.778
 200.000   2.509   0.594   5.390   0.700
 250.000   3.353   0.637   6.288   0.825
 300.000   4.021   0.626   9.576   0.671
 350.000   4.125   0.684   8.924   0.696
 400.000   2.984   0.596   7.012   0.661
 450.000   2.625   0.670   6.375   0.782
 500.000   3.407   0.608   7.760   0.749
 550.000   3.721   0.610   8.741   0.663
 600.000   3.093   0.454   7.393   0.691
 650.000   3.224   0.440   8.203   0.657
 700.000   4.854   0.600   9.313   0.900
 750.000   4.620   0.442   7.061   0.582
 800.000   4.557   0.472   7.645   0.626
 850.000   4.922   0.539   8.093   0.616
 900.000   4.744   0.517   7.864   0.600
 950.000   4.363   0.574   8.123   0.696
1000.000   3.852   0.540   7.941   0.758
