   0.000   0.000   0.000   1.000   0.000
  50.000   3.113   0.633   4.325   0.714
 100.000   2.144   0.467   3.224   0.489
 150.000   2.071   0.444   3.785   0.581
 200.000   1.716   0.354   2.683   0.525
 250.000   3.115   0.541   4.144   0.479
 300.000   3.942   0.465   5.037   0.472
 350.000   4.174   0.521   5.462   0.514
 400.000   4.533   0.545   5.507   0.398
 450.000   4.554   0.506   5.804   0.386
 500.000   3.540   0.568   5.070   0.718
 550.000   3.748   0.457   5.151   0.435
 600.000   3.359   0.343   4.052   0.284
 650.000   3.378   0.400   4.079   0.333
 700.000   3.273   0.425   4.056   0.333
 750.000   3.329   0.374   4.255   0.346
 800.000   3.339   0.348   3.980   0.215
 850.000   3.017   0.394   3.852   0.307
 900.000   2.995   0.386   4.095   0.367
 950.000   3.290   0.364   4.163   0.332
1000.000   3.427   0.348   4.185   0.347
