   0.000   0.000   0.000   0.000   0.000
  50.000   0.739   0.390   2.818   0.704
 100.000   1.397   0.589   4.363   0.825
 150.000   1.686   0.473   4.295   0.710
 200.000   2.209   0.635   5.475   0.872
 250.000   1.094   0.389   3.527   0.743
 300.000   1.486   0.416   4.553   0.758
 350.000   1.249   0.399   4.524   0.731
 400.000   1.381   0.390   4.656   0.815
 450.000   1.792   0.476   5.742   0.950
 500.000   2.128   0.468   6.700   0.875
 550.000   2.110   0.492   6.300   0.806
 600.000   1.933   0.425   5.584   0.732
 650.000   2.356   0.418   5.260   0.654
 700.000   2.940   0.541   5.533   0.763
 750.000   2.343   0.466   6.279   0.694
 800.000   2.078   0.437   6.045   0.670
 850.000   2.635   0.554   6.801   0.743
 900.000   2.889   0.515   7.051   0.710
 950.000   2.541   0.494   6.438   0.685
1000.000   2.222   0.484   6.169   0.745
