   0.000   0.000   0.000   0.000   0.000
  50.000   1.093   0.333   1.198   0.331
 100.000   1.847   0.184   1.980   0.185
 150.000   2.251   0.404   3.271   0.415
 200.000   2.825   0.414   4.525   0.622
 250.000   3.716   0.558   6.923   0.708
 300.000   4.420   0.715   8.880   0.855
 350.000   4.067   0.701   9.100   0.694
 400.000   4.807   0.738   9.475   0.802
 450.000   3.669   0.647   8.188   0.888
 500.000   5.242   0.907   9.338   0.938
 550.000   5.437   0.710   9.280   0.778
 600.000   5.527   0.892   9.698   0.858
 650.000   5.765   0.682   9.979   0.802
 700.000   5.776   0.767  10.583   0.828
 750.000   5.021   1.075   9.562   1.190
 800.000   4.739   0.972   9.410   1.090
 850.000   5.483   0.896   9.913   0.994
 900.000   5.431   1.255  10.015   1.334
 950.000   5.190   0.716   9.949   0.785
1000.000   5.520   0.696   9.955   0.723
