   0.000   1.000   0.000   3.000   0.000
  50.000   7.278   0.953   9.095   1.086
 100.000   8.109   0.470   9.823   0.463
 150.000   7.930   0.492   9.869   0.461
 200.000   7.617   0.451   9.814   0.436
 250.000   6.958   0.447   9.175   0.502
 300.000   6.376   0.447   8.429   0.383
 350.000   6.557   0.454   8.630   0.392
 400.000   6.498   0.438   8.278   0.353
 450.000   7.201   0.416   8.574   0.403
 500.000   6.774   0.555   8.834   0.487
 550.000   6.091   0.538   8.716   0.565
 600.000   6.600   0.562   9.120   0.527
 650.000   6.323   0.456   8.826   0.441
 700.000   6.791   0.466   8.701   0.422
 750.000   6.278   0.455   9.234   0.526
 800.000   7.150   0.404  10.014   0.540
 850.000   7.365   0.450   9.365   0.406
 900.000   7.068   0.499   9.267   0.386
 950.000   7.191   0.507   9.694   0.379
1000.000   7.036   0.525   9.597   0.457
