   0.000   4.000   0.000   4.000   0.000
  50.000   5.998   0.725   6.869   0.610
 100.000   6.747   0.453   7.648   0.391
 150.000   7.660   0.372   8.139   0.240
 200.000   7.593   0.297   7.880   0.175
 250.000   8.388   0.391   8.694   0.326
 300.000   8.463   0.317   8.754   0.251
 350.000   8.650   0.264   8.966   0.119
 400.000   7.869   0.375   8.235   0.294
 450.000   8.054   0.402   8.397   0.375
 500.000   6.925   0.137   7.119   0.171
 550.000   7.000   0.037   7.077   0.139
 600.000   6.981   0.076   7.087   0.147
 650.000   6.988   0.057   7.099   0.156
 700.000   7.028   0.132   7.236   0.236
 750.000   6.999   0.081   7.174   0.200
 800.000   6.948   0.122   7.138   0.188
 850.000   7.044   0.172   7.290   0.273
 900.000   7.092   0.223   7.330   0.288
 950.000   8.212   0.389   9.032   0.242
1000.000   7.669   0.402   8.314   0.357
