   0.000   1.000   0.000   2.000   0.000
  50.000   3.782   0.500   5.871   0.699
 100.000   5.898   0.523   7.557   0.571
 150.000   6.614   0.423   8.160   0.457
 200.000   5.953   0.511   7.791   0.529
 250.000   6.225   0.753   8.622   0.974
 300.000   8.476   0.614  11.021   0.652
 350.000   8.894   0.692  11.446   0.509
 400.000   9.815   0.500  11.362   0.326
 450.000   8.622   0.578  10.968   0.381
 500.000   9.811   0.571  11.379   0.386
 550.000   9.930   0.526  11.299   0.379
 600.000  10.109   0.531  11.607   0.400
 650.000  10.003   0.446  11.571   0.375
 700.000   9.711   0.436  11.205   0.364
 750.000   9.869   0.507  11.579   0.441
 800.000   9.439   0.494  11.306   0.415
 850.000   9.626   0.417  11.051   0.424
 900.000   9.267   0.463  10.744   0.431
 950.000   9.762   0.426  11.327   0.350
1000.000   8.462   0.549  10.645   0.464
