   0.000   3.000   0.000   3.000   0.000
  50.000   3.526   0.496   6.812   1.009
 100.000   4.545   0.546   8.408   0.683
 150.000   4.293   0.550   7.171   0.669
 200.000   3.722   0.465   7.602   0.762
 250.000   5.302   0.408   9.381   0.614
 300.000   4.660   0.370   8.274   0.586
 350.000   4.598   0.348   8.245   0.505
 400.000   4.892   0.506   8.190   0.508
 450.000   4.584   0.531   7.660   0.642
 500.000   6.400   0.614   8.775   0.558
 550.000   7.817   0.494   9.906   0.417
 600.000   7.607   0.506   9.761   0.430
 650.000   6.795   0.505   9.228   0.424
 700.000   6.156   0.530   8.898   0.400
 750.000   6.069   0.566   8.884   0.480
 800.000   6.230   0.602   9.077   0.450
 850.000   4.167   0.576   7.048   0.475
 900.000   3.949   0.561   7.349   0.525
 950.000   4.284   0.565   7.590   0.534
1000.000   4.399   0.555   7.989   0.482
