   0.000   0.000   0.000   1.000   0.000
  50.000   2.446   0.508   3.255   0.768
 100.000   2.474   0.405   3.684   0.652
 150.000   5.066   0.511   7.609   0.584
 200.000   5.497   0.514   7.851   0.633
 250.000   5.538   0.504   7.422   0.550
 300.000   6.263   0.481   8.491   0.570
 350.000   6.405   0.496   8.782   0.525
 400.000   7.251   0.746   9.429   0.602
 450.000   6.850   0.620   9.693   0.577
 500.000   7.839   0.652  10.366   0.515
 550.000   7.795   0.545  10.070   0.695
 600.000   7.685   0.658   9.973   0.622
 650.000   7.749   0.576  10.061   0.496
 700.000   7.704   0.621  10.207   0.550
 750.000   9.284   0.677  11.894   0.628
 800.000   8.884   0.609  11.399   0.496
 850.000   9.315   0.766  11.866   0.675
 900.000   9.539   0.698  12.062   0.431
 950.000   9.650   0.677  12.050   0.395
1000.000   9.307   0.656  11.639   0.531
