   0.000   2.000   0.000   2.000   0.000
  50.000   7.277   1.045   9.676   1.247
 100.000   7.871   0.508  11.951   0.643
 150.000   8.658   0.570  11.434   0.620
 200.000   9.386   0.557  12.899   0.607
 250.000   9.002   0.561  13.074   0.554
 300.000   8.860   0.548  13.793   0.578
 350.000   8.568   0.475  13.478   0.529
 400.000   9.267   0.505  13.922   0.517
 450.000   8.686   0.495  13.920   0.565
 500.000   8.829   0.495  14.013   0.556
 550.000   8.418   0.483  13.584   0.575
 600.000   8.742   0.434  13.394   0.611
 650.000   9.519   0.550  14.341   0.588
 700.000   9.786   0.475  14.480   0.586
 750.000   9.676   0.514  14.455   0.651
 800.000   9.643   0.460  14.036   0.584
 850.000   9.789   0.464  14.455   0.574
 900.000   9.952   0.459  13.902   0.581
 950.000   8.896   0.477  11.733   0.668
1000.000   8.651   0.350  11.710   0.509
