   0.000   0.000   0.000   0.000   0.000
  50.000   5.743   0.884   7.186   1.058
 100.000   5.860   0.467   6.782   0.432
 150.000   6.181   0.439   7.454   0.429
 200.000   6.800   0.365   7.317   0.283
 250.000   6.615   0.389   7.282   0.312
 300.000   6.307   0.433   7.369   0.387
 350.000   6.285   0.398   7.734   0.429
 400.000   6.345   0.489   8.038   0.468
 450.000   7.122   0.464   8.417   0.410
 500.000   7.305   0.482   8.789   0.384
 550.000   7.069   0.458   8.381   0.355
 600.000   7.093   0.463   8.618   0.397
 650.000   6.825   0.479   8.469   0.387
 700.000   7.045   0.419   8.143   0.283
 750.000   6.356   0.478   7.991   0.328
 800.000   6.186   0.499   7.829   0.452
 850.000   6.341   0.465   7.896   0.426
 900.000   6.266   0.419   8.205   0.445
 950.000   7.055   0.436   8.463   0.375
1000.000   6.531   0.398   7.985   0.408
