   0.000   2.000   0.000   3.000   0.000
  50.000   5.853   0.741   7.512   0.760
 100.000   5.714   0.758   8.444   0.723
 150.000   4.607   0.508   7.822   0.636
 200.000   4.907   0.512   8.158   0.545
 250.000   5.025   0.498   7.451   0.531
 300.000   3.703   0.513   6.555   0.596
 350.000   6.026   0.820   7.810   0.748
 400.000   7.604   0.532   9.915   0.636
 450.000   7.574   0.490   9.658   0.644
 500.000   6.465   0.493   8.686   0.518
 550.000   6.473   0.556   9.108   0.509
 600.000   7.290   0.536   9.130   0.574
 650.000   7.421   0.507   8.988   0.442
 700.000   7.157   0.500   8.981   0.465
 750.000   7.422   0.493   9.144   0.424
 800.000   6.999   0.415   8.747   0.432
 850.000   7.575   0.485  10.037   0.571
 900.000   7.210   0.467   9.668   0.531
 950.000   7.547   0.478  10.433   0.541
1000.000   6.722   0.727  10.622   0.670
