   0.000   1.000   0.000   1.000   0.000
  50.000   1.510   0.391   2.858   0.511
 100.000   3.464   0.586   5.014   0.579
 150.000   4.731   0.522   6.348   0.439
 200.000   5.307   0.345   6.663   0.371
 250.000   5.307   0.435   6.990   0.426
 300.000   5.207   0.430   7.688   0.577
 350.000   4.658   0.371   6.960   0.434
 400.000   4.561   0.513   7.249   0.555
 450.000   4.404   0.657   7.406   0.558
 500.000   2.389   0.604   5.878   0.632
 550.000   2.981   0.502   5.357   0.441
 600.000   2.954   0.353   5.122   0.439
 650.000   3.248   0.309   5.068   0.425
 700.000   3.278   0.401   5.027   0.538
 750.000   3.262   0.481   5.518   0.634
 800.000   3.629   0.472   5.425   0.640
 850.000   4.174   0.477   5.958   0.562
 900.000   4.075   0.492   6.667   0.583
 950.000   5.128   0.668   8.988   0.675
1000.000   5.567   0.628   9.458   0.727
