   0.000   3.000   0.000   4.000   0.000
  50.000   4.759   0.704   7.204   0.839
 100.000   5.216   0.508   8.214   0.707
 150.000   4.731   0.565   7.628   0.771
 200.000   3.459   0.416   7.224   0.743
 250.000   4.452   0.598   8.399   0.733
 300.000   5.437   0.593   9.161   0.659
 350.000   6.049   0.462   9.380   0.663
 400.000   5.786   0.498   8.908   0.664
 450.000   5.825   0.590   9.823   0.713
 500.000   5.349   0.619   8.866   0.686
 550.000   5.891   0.633   9.963   0.664
 600.000   5.937   0.530   9.835   0.609
 650.000   6.706   0.597  10.449   0.589
 700.000   5.956   0.586  10.263   0.637
 750.000   6.345   0.561  10.219   0.594
 800.000   7.133   0.656  11.345   0.723
 850.000   5.459   0.564   9.729   0.590
 900.000   3.858   0.477   8.065   0.716
 950.000   4.916   0.589   9.484   0.680
1000.000   5.759   0.645  10.245   0.661
