#system		NaCl	KCl	MgCl2
1	polyA	  11.514 1.089	12.328	0.976	11.546	1.085	
2	polyG	  14.464 0.966	19.321	1.001	20.223	1.003
3	polyU	   7.242 0.906	8.0296	0.869	8.1037	0.919
4	polyC	   4.848 0.648	11.507	1.016	10.380	0.907
5	polyAU	  12.854 0.995	8.7524	0.952	8.5843	0.870
6	polyGC	   6.462 0.597	13.069	0.765	12.615	0.994
7	polyGU	  10.886 1.159	10.340	0.844	10.677	0.943
