#system		NaCl	KCl	MgCl2
1	polyA		7.26	0.53	 9.98	0.68	5.37	0.92
2	polyG		6.39	0.48	 7.20	0.53	9.01	0.58
3	polyU		2.59	0.58	 3.71	0.55	4.11	0.69
4	polyC		4.81	0.52	 6.18	0.59	3.26	0.39
5	polyAU		2.87	0.41	 5.41	0.72	6.15	0.64
6	polyGC		6.84	0.66	 8.04	0.59	5.12	0.73
7	polyGU		4.68	0.57	 7.06	0.63	8.93	0.75
8	poly-AU-GC	9.52	0.52	 5.77	0.76	9.49	0.52

