#system		WOS	NaCl	KCl	MgCl2
1	polyA	3.2089	0.70514	3.1660	0.72562	2.8153	0.65503	2.9393	0.70625		  	
2	polyG	4.3336	0.68872	4.3495	0.73560	3.7640	0.58242	5.1645	0.71506
3	polyU	1.1265	0.46182	1.0853	0.45259	1.6177	0.57740	1.5128	0.53299
4	polyC	1.8934	0.56620	3.5920	0.45695	2.6082	0.60647	2.7143	0.49830
5	polyAU	2.7745	0.55329	3.4548	0.39912	2.6836	0.68879	2.2940	0.50746
6	polyGC	4.0025	0.60554	3.0488	0.53483	4.0419	0.50986	2.1124	0.40448
7	polyGU	2.7078	0.59844	2.5148	0.44366	3.4305	0.45600	2.9851	0.38979
