   0.000  25.020   0.000
  10.000  22.541   0.381
  20.000  21.946   0.236
  30.000  21.627   0.201
  40.000  22.297   0.453
  50.000  22.221   0.394
  60.000  21.848   0.211
  70.000  21.992   0.364
  80.000  22.345   0.400
  90.000  22.429   0.244
 100.000  22.274   0.209
 110.000  22.464   0.228
 120.000  22.964   0.262
 130.000  21.668   0.271
 140.000  21.274   0.161
 150.000  21.248   0.201
 160.000  21.261   0.178
 170.000  21.398   0.176
 180.000  21.402   0.173
 190.000  21.178   0.185
 200.000  21.192   0.186
 210.000  21.779   0.284
 220.000  22.585   0.343
 230.000  22.372   0.457
 240.000  21.263   0.174
 250.000  21.269   0.218
 260.000  21.351   0.213
 270.000  22.626   0.434
 280.000  21.329   0.227
 290.000  21.079   0.231
 300.000  21.850   0.335
 310.000  22.268   0.264
 320.000  22.412   0.412
 330.000  22.567   0.279
 340.000  22.543   0.242
 350.000  22.411   0.259
 360.000  22.097   0.211
 370.000  22.290   0.197
 380.000  22.274   0.315
 390.000  22.073   0.312
 400.000  23.215   0.297
 410.000  22.458   0.458
 420.000  20.194   0.286
 430.000  20.101   0.199
 440.000  20.050   0.159
 450.000  19.911   0.144
 460.000  19.938   0.158
 470.000  19.880   0.125
 480.000  20.517   0.390
 490.000  21.456   0.539
 500.000  22.608   0.169
