   0.000  25.108   0.000
  10.000  22.436   0.384
  20.000  23.273   0.206
  30.000  22.992   0.134
  40.000  23.247   0.150
  50.000  23.259   0.210
  60.000  23.252   0.152
  70.000  23.284   0.177
  80.000  23.156   0.168
  90.000  23.198   0.163
 100.000  23.282   0.126
 110.000  23.248   0.119
 120.000  23.176   0.158
 130.000  23.254   0.122
 140.000  23.313   0.128
 150.000  23.380   0.149
 160.000  23.272   0.126
 170.000  23.351   0.135
 180.000  23.254   0.133
 190.000  23.050   0.155
 200.000  23.224   0.169
 210.000  23.326   0.138
 220.000  23.487   0.123
 230.000  23.370   0.112
 240.000  23.403   0.133
 250.000  23.356   0.114
 260.000  23.441   0.139
 270.000  23.503   0.152
 280.000  23.496   0.158
 290.000  23.039   0.148
 300.000  23.394   0.138
 310.000  23.239   0.153
 320.000  23.075   0.169
 330.000  23.061   0.183
 340.000  23.164   0.197
 350.000  22.984   0.180
 360.000  22.954   0.160
 370.000  22.246   0.337
 380.000  23.144   0.192
 390.000  23.424   0.235
 400.000  23.165   0.177
 410.000  23.344   0.127
 420.000  23.049   0.178
 430.000  22.950   0.181
 440.000  23.053   0.123
 450.000  22.998   0.151
 460.000  22.955   0.125
 470.000  22.932   0.113
 480.000  22.932   0.123
 490.000  23.010   0.133
 500.000  22.960   0.113
