   0.000  26.755   0.000
  10.000  24.656   0.403
  20.000  24.055   0.186
  30.000  24.444   0.198
  40.000  24.183   0.187
  50.000  23.983   0.263
  60.000  23.633   0.207
  70.000  24.215   0.276
  80.000  23.814   0.207
  90.000  24.145   0.153
 100.000  24.468   0.136
 110.000  24.314   0.138
 120.000  24.367   0.142
 130.000  24.313   0.150
 140.000  24.348   0.203
 150.000  24.474   0.155
 160.000  24.220   0.158
 170.000  24.281   0.156
 180.000  24.521   0.152
 190.000  24.481   0.158
 200.000  24.517   0.123
 210.000  24.522   0.132
 220.000  24.502   0.135
 230.000  24.520   0.121
 240.000  24.484   0.131
 250.000  24.666   0.182
 260.000  24.658   0.133
 270.000  24.615   0.172
 280.000  24.507   0.215
 290.000  24.477   0.122
 300.000  24.440   0.119
 310.000  24.504   0.135
 320.000  24.470   0.121
 330.000  24.518   0.127
 340.000  24.524   0.135
 350.000  24.482   0.119
 360.000  24.486   0.124
 370.000  24.435   0.127
 380.000  24.393   0.118
 390.000  24.413   0.114
 400.000  24.492   0.122
 410.000  24.323   0.198
 420.000  24.336   0.162
 430.000  23.970   0.234
 440.000  24.494   0.141
 450.000  24.364   0.160
 460.000  24.584   0.122
 470.000  24.506   0.120
 480.000  24.532   0.142
 490.000  24.370   0.133
 500.000  24.416   0.134
