#system	KCl	NaCl	MgCl2
1	polyA		-265.72	30.1	-180.75	36.5	-159.02	27.8
2	polyG		-286.72	27.0	-216.70	49.5	-324.37	6.5	
3       polyU           -280.92 28.8    -269.99 27.4    -163.52 28.5
4	polyC		-250.4	26.2	-210.09	31.6	-146.24	21.6
5	polyAU		-295.43	9.6	-93.511	24.5	-182.74	29.5
6	polyGC		-221.29	20.2	-246.37	25.1	-215.78	19.6
7	polyGU		-103.20	25.5	-207.18	19.7	-194.73	26.7
8	polyAU-GC	-209.54 24.9	-289.37	39.3	-361.60	30.8
